traduccion,unidad,tipo_palabra,hiragana,katakana,kanji
tirar,18,verbos,すてます,*,*
remplazar,18,verbos,かえます,*,*
conducir automovil,18,verbos,うてんします,*,*
reservar,18,verbos,よやくします,*,*
visitar para estudiar un lugar,18,verbos,けんがくします,*,*
rezar,18,verbos,いのりをします,*,*
piano,18,sustantivo,ぴあの,ピアノ,*
metros,18,sustantivo,-め-とる,-メ-トル,*
internacional,18,sustantivo,こくさい,*,*
dinero en efectivo,18,sustantivo,げんきん,*,げん金
aficion,18,sustantivo,しゅみ,*,*
diario,18,sustantivo,にっき,*,日っき
oracion,18,sustantivo,[お]いのり,*,*
jefe de seccion,18,sustantivo,かちょう,*,*
gerente de departamento,18,sustantivo,ぶちょう,*,*
presidente,18,sustantivo,しゃちょう,*,*
animal,18,sustantivo,どうぶつ,*,*
caballo,18,sustantivo,うま,*,*
no es facil,18,adverbios,なかなか,*,*
sin falta,18,adverbios,ぜひ,*,*
ah si!,18,frases,へえ,*,*
eso es interesante,18,frases,それはおもしろいですね,*,*
en serio?,18,frases,ほんとうですか,*,*
////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////

