traduccion,unidad,tipo_palabra,hiragana,katakana,kanji
esposa,7,familia de otros,おくさん,*,*
esposo,7,familia de otros,ごしゅうじん,*,*
hijos,7,familia de otros,おこさん,*,*
cortar,7,verbos,きります,*,*
regalar,7,verbos,あげます,*,*
prestar,7,verbos,かします,*,*
enseñar,7,verbos,おしえます,*,*
enviar,7,verbos,おくります,*,*
llamar por telefono,7,verbos,でんわをかけます,*,*
recibir,7,verbos,もらいます,*,*
tener prestado,7,verbos,かります,*,*
aprender de,7,verbos,ならいます,*,*
mano,7,sustantivo,て,*,*
palillos,7,sustantivo,はし,*,*
cuchara,7,sustantivo,すぷ-ん,スプ-ン,*
cuchullo,7,sustantivo,ないふ,ナイフ,*
tenedor,7,sustantivo,ふぉ-く,フォ-ク,*
tijeras,7,sustantivo,はさみ,*,*
perforador,7,sustantivo,ぱんち,パンチ,*
agrapadora,7,sustantivo,ほっちきす,ホッチキス,*
cinta adesiva,7,sustantivo,せろて-ぷ,セロテ-プ,*
goma de borrar,7,sustantivo,けしごむ,けしゴム,*
papel,7,sustantivo,かみ,*,*
flor,7,sustantivo,はな,*,*
remera,7,sustantivo,しゃつ,シャツ,*
regalo,7,sustantivo,ぷれせんと,プレゼント,*
paquete,7,sustantivo,にもつ,*,*
dinero,7,sustantivo,おかね,*,*
boleto,7,sustantivo,きっぷ,*,*
tarjeta de año nuevo,7,sustantivo,ねんがしょう,*,*
fax,7,sustantivo,ふぁくす,ファクス,*
procesadora de papeles,7,sustantivo,わ-ぷろ,ワ-プロ,*
pc personal,7,sustantivo,ぱそこん,パソコン,*
navidad,7,sustantivo,くりすます,クリスマス,*
viaje,7,sustantivo,りょこう,*,*
souvenir de viaje,7,sustantivo,おみやけ,*,*
Europa,7,sustantivo,よ-ろっぱ,ヨーロッパ,*
ya,7,adverbios,もう,*,*
aun,7,adverbios,まだ,*,*
desde ahora,7,adverbios,これから,*,*
disculpe voy a entrar,7,frases,ごめんください,*,*
bienvenido,7,frases,いらっしゃい,*,*
pase por favor,7,frases,どうぞおあがりください,*,*
